Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0
good,14,wine.manual10.1.14,0
good,2,wine.manual10.1.2,0
good,30,wine.manual10.1.30,0
good,4,wine.manual10.1.4,0
good,60,wine.manual10.1.60,0
good,7,wine.manual10.1.7,0
good,70,wine.manual10.1.70,0
good,1,wine.manual10.2.1,0
good,14,wine.manual10.2.14,0
good,2,wine.manual10.2.2,0
good,30,wine.manual10.2.30,0
good,4,wine.manual10.2.4,0
good,60,wine.manual10.2.60,0
good,7,wine.manual10.2.7,0
good,70,wine.manual10.2.70,0
good,14,wine.manual10.3.14,0
good,2,wine.manual10.3.2,0
good,30,wine.manual10.3.30,0
good,4,wine.manual10.3.4,0
good,60,wine.manual10.3.60,0
good,7,wine.manual10.3.7,0
good,70,wine.manual10.3.70,0
poor,1,wine.manual3.1.1,0
poor,14,wine.manual3.1.14,0
poor,2,wine.manual3.1.2,0
poor,30,wine.manual3.1.30,0
poor,4,wine.manual3.1.4,0
poor,60,wine.manual3.1.60,0
poor,7,wine.manual3.1.7,0
poor,1,wine.manual3.2.1,0
poor,14,wine.manual3.2.14,0
poor,2,wine.manual3.2.2,0
poor,30,wine.manual3.2.30,0
poor,4,wine.manual3.2.4,0
poor,7,wine.manual3.2.7,0
intermediate,16,wine.manual3.3.16,0
intermediate,2,wine.manual3.3.2,0
intermediate,30,wine.manual3.3.30,0
intermediate,4,wine.manual3.3.4,0
intermediate,60,wine.manual3.3.60,0
intermediate,7,wine.manual3.3.7,0
intermediate,70,wine.manual3.3.70,0
poor,1,wine.manual4.1.1,0
poor,14,wine.manual4.1.14,0
poor,2,wine.manual4.1.2,0
poor,30,wine.manual4.1.30,0
poor,4,wine.manual4.1.4,0
poor,7,wine.manual4.1.7,0
poor,1,wine.manual4.2.1,0
poor,14,wine.manual4.2.14,0
poor,2,wine.manual4.2.2,0
poor,30,wine.manual4.2.30,0
poor,4,wine.manual4.2.4,0
poor,7,wine.manual4.2.7,0
good,16,wine.manual4.3.16,0
good,2,wine.manual4.3.2,0
good,30,wine.manual4.3.30,0
good,4,wine.manual4.3.4,0
good,7,wine.manual4.3.7,0
good,1,wine.manual9.1.1,0
good,14,wine.manual9.1.14,0
good,2,wine.manual9.1.2,0
good,30,wine.manual9.1.30,0
good,4,wine.manual9.1.4,0
good,60,wine.manual9.1.60,2.50E-05
good,7,wine.manual9.1.7,2.50E-05
good,70,wine.manual9.1.70,0
good,1,wine.manual9.2.1,0
good,14,wine.manual9.2.14,0
good,2,wine.manual9.2.2,0
good,30,wine.manual9.2.30,0
good,4,wine.manual9.2.4,0
good,60,wine.manual9.2.60,0
good,7,wine.manual9.2.7,0
good,70,wine.manual9.2.70,0
intermediate,16,wine.manual9.3.16,0
intermediate,2,wine.manual9.3.2,0
intermediate,30,wine.manual9.3.30,0
intermediate,4,wine.manual9.3.4,0
intermediate,60,wine.manual9.3.60,0
intermediate,7,wine.manual9.3.7,0
intermediate,70,wine.manual9.3.70,0
